"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3F1P0QzdXtBz0MXy7KIO5w","Fever","spotify:artist:6M2wZ9GZgrQXHCFfjv46we, spotify:artist:3QVolfxko2UyCOtexhVTli","Dua Lipa, Angèle","spotify:album:5lKlFlReHOLShQKyRv6AL9","Future Nostalgia","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","2020-03-27","https://i.scdn.co/image/ab67616d0000b2732172b607853fa89cefa2beb4","1","13","156910","https://p.scdn.co/mp3-preview/8bc5e53c711b522a7009b3784263f17c75d1c0c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","GBAHT2000834","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0ct6r3EGTcMLPtrXHDvVjc","The Nights","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","spotify:album:0h2knr6qpiAq0tV5ri5JMF","The Days / Nights","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","2014-01-01","https://i.scdn.co/image/ab67616d0000b2730ae4f4d42e4a09f3a29f64ad","1","2","176658","https://p.scdn.co/mp3-preview/7866e9567e7398035a01f663104ea1c5c28d11b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","CH3131340464","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1V6gIisPpYqgFeWbMLI0bA","Heart Attack","spotify:artist:6S2OmqARrzebs0tKUEyXyp","Demi Lovato","spotify:album:6Kssm2LosQ0WyLukFZkEG5","Demi","spotify:artist:6S2OmqARrzebs0tKUEyXyp","Demi Lovato","2013-01-01","https://i.scdn.co/image/ab67616d0000b273aadb13ae608f6af20528409b","1","1","210840","https://p.scdn.co/mp3-preview/17fa164b977074dd1b1869bfb10b08cfd513e53b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USHR11334249","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3at4D3FZnJnYR0Mfcn6JSN","Take You Dancing","spotify:artist:07YZf4WDAMNwqr4jfgOZ8y","Jason Derulo","spotify:album:5yrqPWuCSAo6beZdIBYAUU","Nu King","spotify:artist:07YZf4WDAMNwqr4jfgOZ8y","Jason Derulo","2024-02-16","https://i.scdn.co/image/ab67616d0000b27354bdca52fa6d58a84bf7c28d","1","9","190306","https://p.scdn.co/mp3-preview/cd2e395b19299fb59a01f0332e6295385f063cca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USAT22004479","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:20I6sIOMTCkB6w7ryavxtO","Call Me Maybe","spotify:artist:6sFIWsNpZYqfjUpaCgueju","Carly Rae Jepsen","spotify:album:6SSSF9Y6MiPdQoxqBptrR2","Kiss","spotify:artist:6sFIWsNpZYqfjUpaCgueju","Carly Rae Jepsen","2012-01-01","https://i.scdn.co/image/ab67616d0000b273d3ee4bf67c2ac2154006ad72","1","3","193400","https://p.scdn.co/mp3-preview/c4a7b5e8b012344e607dc50991a32b4a00326739?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","CAB391100615","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0KoiMHhqKLoL4xM54rcWYY","Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","spotify:artist:540vIaP2JwjQb9dm3aArA4, spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx, spotify:artist:1i8SpTcr7yvPOmcqrbnVXY, spotify:artist:4kYSro6naA4h99UJvo89HB","DJ Snake, Selena Gomez, Ozuna, Cardi B","spotify:album:2MFS6WG6jnPAgvJpV3PehR","Carte Blanche","spotify:artist:540vIaP2JwjQb9dm3aArA4","DJ Snake","2019-07-25","https://i.scdn.co/image/ab67616d0000b273caf82abb2338880577e472be","1","11","212500","https://p.scdn.co/mp3-preview/0de874f11423dd9c6f0cfd19bf7aa3a20809d831?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USUG11802029","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2O9O26335YYVckmRgPKY3s","Alive","spotify:artist:67hb7towEyKvt5Z8Bx306c","Empire Of The Sun","spotify:album:4phgwA30YOM1BAhJEm96Al","Ice On The Dune","spotify:artist:67hb7towEyKvt5Z8Bx306c","Empire Of The Sun","2013-01-01","https://i.scdn.co/image/ab67616d0000b273cf06b7a58c6bf3e90102bf05","1","3","204546","https://p.scdn.co/mp3-preview/6ff636e94313f108046d51ea949ff8fc052273e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","AUEI11300006","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6O6M7pJLABmfBRoGZMu76Y","Roses (feat. ROZES)","spotify:artist:69GGBxA162lTqCwzJG5jLp, spotify:artist:6jsjhAEteAlY0vCiLvMLBA","The Chainsmokers, ROZES","spotify:album:3ShQFl9FladFKlonwPGZFc","The Chainsmokers- Japan Special Edition","spotify:artist:69GGBxA162lTqCwzJG5jLp","The Chainsmokers","2016-08-10","https://i.scdn.co/image/ab67616d0000b27308d87fb54859bc9038f7e5e0","1","1","225800","https://p.scdn.co/mp3-preview/a0f968725f2164068bee9379d9fce23fbe9bea74?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USQX91500801","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0wI7QkCcs8FUQE1OkXUIqd","Scars To Your Beautiful","spotify:artist:2wUjUUtkb5lvLKcGKsKqsR","Alessia Cara","spotify:album:7HnbhIDKXIBhMR4EPGuMgu","Know-It-All","spotify:artist:2wUjUUtkb5lvLKcGKsKqsR","Alessia Cara","2015-11-13","https://i.scdn.co/image/ab67616d0000b273d7ef1ffbd2a5821152f35ce1","1","10","230240","https://p.scdn.co/mp3-preview/da7510a6987187086774a17a3f79cf6752ff1f87?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USUM71506811","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0v2Swij0g2VfvSq3c3uaG3","Don't Be Shy","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z, spotify:artist:790FomKkXshlbRYZFtlgla","Tiësto, KAROL G","spotify:album:1Pl9ZGXwayXPg5qRVpYo74","DRIVE","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z","Tiësto","2023-04-21","https://i.scdn.co/image/ab67616d0000b273cf8c47967e5c6bbc7dca5abb","1","9","140500","https://p.scdn.co/mp3-preview/b5b4a420871f198f6526d15d58fa3c90c4a4ad0a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","CYA112000981","spotify:user:","1970-01-01T00:00:00Z"
