"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6M31fPFCYB8Job3MCjjrDV","They Don't Know About Us","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","spotify:album:2sWX3HYnZjPZ9MrH6MFsBt","Take Me Home (Expanded Edition)","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","2012-11-12","https://i.scdn.co/image/ab67616d0000b2734e31e0d38b89b8fb239d4fbf","1","12","200400","https://p.scdn.co/mp3-preview/cadd5802c1669f398ff3a341047cefc671f126ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBHMU1200368","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3pTHZHX0MRE7xYeiTEWlaM","Tattoos Together","spotify:artist:5JZ7CnR6gTvEMKX4g70Amv","Lauv","spotify:album:3ZuE680xhR1A4bCFGvL8mi","~how i'm feeling~","spotify:artist:5JZ7CnR6gTvEMKX4g70Amv","Lauv","2020-03-06","https://i.scdn.co/image/ab67616d0000b2732c0e1e9e1fd1e7b132da1606","1","16","186613","https://p.scdn.co/mp3-preview/05a1007dda37f7107f54cef2f528a3bd5fa0a4e8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","GBKPL1969293","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2bT1PH7Cw3J9p3t7nlXCdh","If I Can't Have You","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","spotify:album:0xzScN8P3hQAz3BT3YYX5w","Shawn Mendes (Deluxe)","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","2019-06-19","https://i.scdn.co/image/ab67616d0000b273c820f033bd82bef4355d1563","1","3","191466","https://p.scdn.co/mp3-preview/19eb0926762be00a008444da61ae50a6399ec39d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USUM71907349","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2GiJYvgVaD2HtM8GqD9EgQ","Electric Love","spotify:artist:1KP6TWI40m7p3QBTU6u2xo","BØRNS","spotify:album:17l7MIu0Jh0tdgK7or9ovw","Dopamine","spotify:artist:1KP6TWI40m7p3QBTU6u2xo","BØRNS","2015-10-16","https://i.scdn.co/image/ab67616d0000b273cc2cf912462d8ae4ef856434","1","3","218106","https://p.scdn.co/mp3-preview/9e25bcbff5c6e56abf6370656d6255fd7a766d9a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USUM71416307","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1FCQLXqwkKiqXNVAos5j2B","Always","spotify:artist:5ie2SvXgvXlTpyqkwLtSd7","Isak Danielson","spotify:album:6XUpmmF38NqTp1Nf6QcUfq","Yours","spotify:artist:5ie2SvXgvXlTpyqkwLtSd7","Isak Danielson","2018-10-19","https://i.scdn.co/image/ab67616d0000b2730cdf22fa789379f42803ea79","1","2","213451","https://p.scdn.co/mp3-preview/eddb78636f8740e2583bb294396ccbb17dd5905d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","SE5T51800201","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2YWtcWi3a83pdEg3Gif4Pd","I Think He Knows","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:1NAmidJlEaVgA3MpcPFYGq","Lover","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2019-08-23","https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647","1","6","173386","https://p.scdn.co/mp3-preview/9a872988c1ad7fe5403c63041d887456214dbe9b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USUG11901476","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3d8y0t70g7hw2FOWl9Z4Fm","Ophelia","spotify:artist:16oZKvXb6WkQlVAjwo2Wbg","The Lumineers","spotify:album:2zbTrm2pIAErzFSopinkbN","Cleopatra","spotify:artist:16oZKvXb6WkQlVAjwo2Wbg","The Lumineers","2016-04-08","https://i.scdn.co/image/ab67616d0000b2732ebf129f0db6d0e88372600e","1","2","160097","https://p.scdn.co/mp3-preview/8c2d1447b1f425955e56f93bbb427436b28c6bb0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USDMG1673802","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2BgEsaKNfHUdlh97KmvFyo","2002","spotify:artist:1zNqDE7qDGCsyzJwohVaoX","Anne-Marie","spotify:album:7lPoGKpCGgdKFAxpudhAH5","Speak Your Mind (Deluxe)","spotify:artist:1zNqDE7qDGCsyzJwohVaoX","Anne-Marie","2018-04-27","https://i.scdn.co/image/ab67616d0000b27338aae75dc37fb42457866ffd","1","10","186986","https://p.scdn.co/mp3-preview/d469ce8346ff12dcd2af05877d99662a0b334eca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","GBAHS1800094","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0mJBiaODgK0XjOLCN5fItq","Like I Can","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","spotify:album:6oSJciY7B2HlZPJpyR9nOR","In The Lonely Hour (Deluxe)","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","2014-01-01","https://i.scdn.co/image/ab67616d0000b273aeca5ce27cb0041319cbb734","1","7","167065","https://p.scdn.co/mp3-preview/4426ebceb8998084b98f7a3f069af7ea7857e5cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","GBUM71308834","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7aQjPecQdIuNd1sz3KCDhD","Lovefool","spotify:artist:1tqZaCwM57UFKjWoYwMLrw","The Cardigans","spotify:album:56vFkneGivqQcoNQq362iZ","First Band On The Moon (Remastered)","spotify:artist:1tqZaCwM57UFKjWoYwMLrw","The Cardigans","1996-01-01","https://i.scdn.co/image/ab67616d0000b2730aac8ca880151fda470e91af","1","7","193953","https://p.scdn.co/mp3-preview/f548f1a669b14992fc5d1c2339f8eb114c175f3c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","SEBKB9629380","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2XJi8jbLnDBZ60gTPpdbrg","Home","spotify:artist:7giUHu5pv6YTZgSkxxCcgh","Edward Sharpe & The Magnetic Zeros","spotify:album:4GD0oOYztFNV8I6Sh9YF8O","Up From Below","spotify:artist:7giUHu5pv6YTZgSkxxCcgh","Edward Sharpe & The Magnetic Zeros","2009","https://i.scdn.co/image/ab67616d0000b2731882d1f400ae405ca501191b","1","6","302080","https://p.scdn.co/mp3-preview/12c998a96bc08c7e2fd0ca9ae3da08f88b3bd6ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USVR90954206","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2Bs4jQEGMycglOfWPBqrVG","Steal My Girl","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","spotify:album:4gCNyS7pidfK3rKWhB3JOY","FOUR (Deluxe)","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","2014-11-17","https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4","1","1","228133","https://p.scdn.co/mp3-preview/737c88cb0f9b8ebfc09135343084e8dc59009200?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","GBHMU1400159","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1fDFHXcykq4iw8Gg7s5hG9","About You","spotify:artist:3mIj9lX2MWuHmhNCA7LSCW","The 1975","spotify:album:6dVCpQ7oGJD1oYs2fv1t5M","Being Funny In A Foreign Language","spotify:artist:3mIj9lX2MWuHmhNCA7LSCW","The 1975","2022-10-14","https://i.scdn.co/image/ab67616d0000b2731f44db452a68e229650a302c","1","10","326490","https://p.scdn.co/mp3-preview/66e8103db129c422b5bdefca973cf9c9e839eeba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","GBK3W2202321","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6v3KW9xbzN5yKLt9YKDYA2","Señorita","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr, spotify:artist:4nDoRrQiYLoBzwC5BhVJzF","Shawn Mendes, Camila Cabello","spotify:album:0xzScN8P3hQAz3BT3YYX5w","Shawn Mendes (Deluxe)","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","2019-06-19","https://i.scdn.co/image/ab67616d0000b273c820f033bd82bef4355d1563","1","1","190799","https://p.scdn.co/mp3-preview/cf6ae4e497f91c285cc57ec2be36bbad2133af47?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USUM71911283","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:56sxN1yKg1dgOZXBcAHkJG","Gone, Gone, Gone","spotify:artist:6p5JxpTc7USNnBnLzctyd4","Phillip Phillips","spotify:album:0zIb6xazDd72sVT8OtPX3E","The World From The Side Of The Moon","spotify:artist:6p5JxpTc7USNnBnLzctyd4","Phillip Phillips","2012-01-01","https://i.scdn.co/image/ab67616d0000b2735c75f5e02580f4c0c3e80e8e","1","3","209693","https://p.scdn.co/mp3-preview/cd74015331c05d8441cc56250961150f2dd60319?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","QMTM61200406","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2JtuQZHQAtNO13O8KLQSxE","Boys Like You","spotify:artist:2y9j8qUwBMGPYPQJJxmYzD","Anna Clendening","spotify:album:0Dul38cVpG0ASG02D653k8","Boys Like You","spotify:artist:2y9j8qUwBMGPYPQJJxmYzD","Anna Clendening","2018-06-01","https://i.scdn.co/image/ab67616d0000b2737679b9d0724cc7421189ac44","1","1","187349","https://p.scdn.co/mp3-preview/4658dd24543885a419cb3f49914f8791dff402a7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","US39N1800049","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1ko2lVN0vKGUl9zrU0qSlT","Just the Two of Us (feat. Bill Withers)","spotify:artist:05YVYeV4HxYp5rrWalvuE1, spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Grover Washington\, Jr., Bill Withers","spotify:album:1lKYaRbV0AayVPss9i4oOp","Anthology","spotify:artist:05YVYeV4HxYp5rrWalvuE1","Grover Washington\, Jr.","1985","https://i.scdn.co/image/ab67616d0000b273472fbc1d5743c7d3c75b9ec0","1","6","438493","https://p.scdn.co/mp3-preview/0b8c95f421393a3fca43687498e15ad0b1e1f4d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USEE19901162","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:18uwL0vNUanqZH0ro2QcOP","comethru","spotify:artist:3gIRvgZssIb9aiirIg0nI3","Jeremy Zucker","spotify:album:6Whp0T7d1SAt4gDUNkWWD1","summer,","spotify:artist:3gIRvgZssIb9aiirIg0nI3","Jeremy Zucker","2018-09-28","https://i.scdn.co/image/ab67616d0000b273cb16227d90152c2a5022bba1","1","1","181613","https://p.scdn.co/mp3-preview/c4523509311dad00dc70a06f1cfe2b0b358f6698?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USUM71813455","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1QNqrsNQ1JVLEwncov3lEY","True Love (feat. Lily Allen)","spotify:artist:1KCSPY1glIKqW2TotWuXOR, spotify:artist:13saZpZnCDWOI9D4IJhp1f","P!nk, Lily Allen","spotify:album:2Q9oTK48eb85waX1fFJsvj","The Truth About Love","spotify:artist:1KCSPY1glIKqW2TotWuXOR","P!nk","2012-09-18","https://i.scdn.co/image/ab67616d0000b2739d0f0d226987b449808e7b6f","1","5","230733","https://p.scdn.co/mp3-preview/584661dc4de0d2866939648924817bc5051a4454?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","USRC11200787","spotify:user:","1970-01-01T00:00:00Z"
